borrower_id,first_name,last_name,age,gender,marital_status,distance_from_branch_miles,education_level,occupation_sector,num_previous_lenders,total_employment_years,account_open_date,default_flag
111,Richard,Brown,42,Male,Married,2,Bachelor's,Life Sciences,2,24,2004-01-01,0
113,Nancy,Wilson,40,Female,Single,9,Master's,Medical,9,22,2006-01-01,0
116,John,Gonzalez,31,Male,Married,26,Master's,Marketing,1,10,2014-01-01,1
117,Christopher,Brown,42,Male,Married,3,Master's,Other,4,28.6,2022-01-01,0
119,Richard,Moore,34,Male,Single,2,Bachelor's,Other,1,6.6,2017-12-31,0
120,Sandra,Jones,35,Female,Married,28,Master's,Life Sciences,0,6.6,2019-01-01,1
121,Anthony,Garcia,39,Male,Married,9,Some College,Medical,1,10,2014-01-01,0
122,Charles,Anderson,21,Male,Single,5,No Degree,Medical,1,2,2022-01-01,0
123,Joseph,Williams,34,Male,Married,3,Some College,Human Resources,0,4,2020-12-31,0
124,Mark,Moore,29,Male,Married,23,Bachelor's,Medical,0,10,2015-01-01,0
125,Linda,Johnson,31,Female,Divorced,2,Master's,Life Sciences,1,10,2014-01-01,0
127,Robert,Davis,46,Male,Married,20,Master's,Medical,4,13,2024-01-01,0
128,Elizabeth,Wilson,25,Female,Married,1,Some College,Life Sciences,1,9.9,2015-01-01,0
129,Donald,Thomas,25,Male,Single,24,No Degree,Life Sciences,1,1,2023-01-01,1
130,Susan,Gonzalez,57,Female,Single,3,Bachelor's,Life Sciences,5,13,2017-12-31,0
132,Matthew,Smith,35,Male,Divorced,14,Master's,Other,1,5,2020-01-01,1
133,Matthew,Rodriguez,25,Male,Married,3,No Degree,Other,1,5.5,2019-01-01,0
134,Sandra,Martinez,36,Female,Married,17,No Degree,Life Sciences,0,22,2004-12-31,0
135,Margaret,Moore,25,Female,Divorced,2,Master's,Life Sciences,1,1.1,2023-01-01,0
136,Ashley,Jones,22,Female,Married,13,Some College,Life Sciences,1,1,2023-01-01,0
139,Andrew,Moore,44,Male,Single,9,Some College,Medical,1,9.9,2015-01-01,1
140,John,Hernandez,34,Male,Divorced,10,Master's,Life Sciences,1,9,2015-01-01,0
141,Patricia,Johnson,32,Female,Single,29,Master's,Medical,9,11,2016-01-01,0
142,Andrew,Thomas,51,Male,Married,2,Bachelor's,Marketing,2,14,2020-01-01,0
143,Steven,Taylor,34,Male,Single,7,Master's,Other,2,8.8,2017-12-31,0
144,David,Johnson,28,Male,Married,2,Master's,Medical,5,5.5,2020-12-31,1
145,Dorothy,Williams,19,Female,Single,3,No Degree,Medical,1,1,2023-01-01,0
147,Kenneth,Williams,34,Male,Married,1,Some College,Life Sciences,1,6,2017-12-31,0
148,Joseph,Gonzalez,34,Male,Single,4,Master's,Life Sciences,1,11,2014-01-01,0
150,Joseph,Jackson,31,Male,Married,7,Master's,Life Sciences,3,14.3,2016-12-31,1
151,Kenneth,Johnson,53,Male,Married,4,Master's,Life Sciences,0,4,2020-12-31,1
152,Kenneth,Williams,55,Male,Divorced,1,Master's,Medical,2,34.1,2016-12-31,0
153,Anthony,Jackson,35,Male,Married,19,Bachelor's,Life Sciences,3,9,2020-01-01,0
154,Andrew,Taylor,24,Male,Single,25,Bachelor's,Life Sciences,1,1.1,2023-01-01,1
155,Lisa,Rodriguez,44,Female,Divorced,8,Master's,Life Sciences,8,19,2008-01-01,0
158,Matthew,Jones,39,Male,Single,4,Bachelor's,Marketing,1,8,2016-01-01,1
159,Karen,Anderson,50,Female,Married,1,Bachelor's,Life Sciences,0,19,2006-01-01,0
160,Lisa,Williams,51,Female,Married,1,Master's,Medical,4,27,2020-12-31,0
161,Mary,Anderson,29,Female,Married,7,Some College,Medical,1,13,2011-01-01,1
162,Kenneth,Jackson,31,Male,Married,5,No Degree,Life Sciences,6,8.8,2019-01-01,0
163,Linda,Williams,31,Female,Single,1,Bachelor's,Life Sciences,0,6,2019-01-01,0
164,Paul,Miller,35,Male,Married,3,Bachelor's,Other,1,10,2014-01-01,0
165,Steven,Rodriguez,25,Male,Divorced,2,No Degree,Marketing,0,5.5,2020-01-01,1
167,Robert,Davis,50,Male,Married,3,Some College,Marketing,1,3,2020-12-31,1
168,Daniel,Martinez,50,Male,Single,22,Doctoral/Professional,Medical,1,35.2,1992-01-01,0
169,David,Anderson,35,Male,Single,4,Bachelor's,Technical Degree,0,9.9,2016-01-01,0
170,Paul,Martinez,22,Male,Married,1,Some College,Life Sciences,6,4,2022-01-01,0
171,Kenneth,Taylor,37,Male,Divorced,5,Some College,Medical,7,8,2017-12-31,0
174,Barbara,Rodriguez,39,Female,Single,1,Some College,Life Sciences,8,8.8,2017-12-31,1
175,Linda,Brown,45,Female,Married,26,Master's,Life Sciences,2,5,2023-01-01,1
176,Paul,Jones,39,Male,Married,6,Bachelor's,Medical,2,12.1,2016-12-31,0
178,Kenneth,Miller,42,Male,Married,5,Some College,Marketing,6,21,2023-01-01,0
179,Christopher,Miller,54,Male,Married,19,Master's,Medical,2,17.6,2015-01-01,0
180,Charles,Taylor,30,Male,Married,2,No Degree,Marketing,0,4,2020-12-31,0
181,Donald,Rodriguez,35,Male,Single,7,Bachelor's,Other,3,17,2016-01-01,0
182,John,Williams,32,Male,Divorced,1,Master's,Marketing,0,17.6,2008-12-31,0
183,Margaret,Rodriguez,32,Female,Married,4,Some College,Life Sciences,2,6,2020-01-01,0
184,Patricia,Smith,47,Female,Married,3,Some College,Medical,4,10,2020-12-31,0
185,Christopher,Jones,45,Male,Married,23,Some College,Life Sciences,1,9.9,2015-01-01,0
186,Sarah,Garcia,32,Female,Single,8,Bachelor's,Marketing,1,9.9,2015-01-01,0
187,Mark,Moore,51,Male,Married,8,Master's,Life Sciences,5,16,2014-01-01,0
188,Anthony,Moore,29,Male,Divorced,9,No Degree,Life Sciences,1,14.3,2011-01-01,0
190,Robert,Jones,35,Male,Divorced,11,Some College,Marketing,1,5.5,2019-01-01,0
191,Paul,Johnson,42,Male,Married,2,Bachelor's,Medical,4,4,2023-01-01,0
194,Anthony,Jones,38,Male,Married,1,Master's,Life Sciences,0,16,2008-12-31,0
195,John,Martinez,29,Male,Married,3,Master's,Medical,1,10,2014-01-01,0
196,Daniel,Johnson,35,Male,Married,16,Bachelor's,Marketing,0,12,2012-12-31,0
197,Daniel,Miller,25,Male,Single,5,Bachelor's,Marketing,1,6.6,2017-12-31,1
199,Nancy,Moore,25,Female,Married,16,Master's,Technical Degree,9,4,2022-01-01,0
201,William,Davis,40,Male,Divorced,28,Bachelor's,Other,3,20,2023-01-01,0
202,Elizabeth,Garcia,56,Female,Divorced,8,Bachelor's,Life Sciences,4,20.9,2022-01-01,0
203,Anthony,Smith,28,Male,Single,1,Master's,Medical,0,5,2020-01-01,0
204,David,Hernandez,33,Male,Single,8,Doctoral/Professional,Life Sciences,2,14,2024-01-01,0
205,Anthony,Davis,45,Male,Single,29,Bachelor's,Medical,5,9,2017-12-31,0
206,Charles,Garcia,55,Male,Divorced,24,Some College,Life Sciences,3,12,2019-01-01,0
207,Michael,Gonzalez,43,Male,Single,29,Bachelor's,Medical,5,9,2017-12-31,0
208,Patricia,Thomas,31,Female,Married,29,Master's,Marketing,1,14.3,2012-01-01,0
209,Joseph,Miller,35,Male,Married,11,Some College,Medical,2,11,2020-01-01,1
210,Sandra,Lopez,37,Female,Single,6,Bachelor's,Life Sciences,4,9,2022-01-01,0
211,Thomas,Davis,43,Male,Married,6,Master's,Other,4,18.7,2024-01-01,0
212,Joseph,Smith,49,Male,Married,2,Bachelor's,Marketing,2,14,2020-01-01,0
213,Richard,Gonzalez,33,Male,Single,1,Master's,Other,3,6.6,2020-12-31,0
214,Lisa,Rodriguez,35,Female,Married,10,Bachelor's,Life Sciences,1,16,2008-01-01,0
215,Robert,Rodriguez,46,Male,Single,4,Bachelor's,Life Sciences,1,12.1,2014-01-01,0
216,Daniel,Taylor,28,Male,Single,9,Some College,Medical,1,11,2014-01-01,0
217,Betty,Moore,28,Female,Married,8,Some College,Life Sciences,0,9,2016-01-01,0
218,Christopher,Smith,51,Male,Divorced,9,Bachelor's,Life Sciences,4,31,1995-01-01,0
220,David,Jackson,26,Male,Single,24,Some College,Technical Degree,1,10,2014-01-01,1
221,Charles,Johnson,29,Male,Married,1,Bachelor's,Life Sciences,0,6,2019-01-01,0
222,Michael,Martin,26,Male,Single,29,Some College,Medical,8,7.7,2022-01-01,1
223,Margaret,Lopez,27,Female,Divorced,1,Bachelor's,Medical,6,5,2020-12-31,1
224,Christopher,Wilson,40,Male,Married,8,Master's,Marketing,0,10,2015-01-01,0
226,Michael,Gonzalez,29,Male,Single,18,No Degree,Medical,1,4.4,2020-01-01,1
227,Andrew,Miller,55,Male,Married,4,Master's,Life Sciences,0,4,2020-12-31,1
228,Sarah,Johnson,49,Female,Married,14,Some College,Life Sciences,4,18,2016-12-31,0
230,Steven,Moore,26,Male,Married,1,Bachelor's,Life Sciences,1,5.5,2019-01-01,0
231,Richard,Lopez,27,Male,Married,1,Bachelor's,Life Sciences,0,6,2019-01-01,0
232,Margaret,Williams,41,Female,Divorced,7,No Degree,Life Sciences,1,23.1,2003-01-01,0
233,Christopher,Martin,51,Male,Divorced,2,Some College,Medical,6,22,2007-01-01,0
234,Lisa,Brown,34,Female,Divorced,6,Some College,Marketing,0,3.3,2022-01-01,1
235,Thomas,Taylor,29,Male,Married,22,Master's,Medical,1,10,2014-01-01,1
237,Lisa,Gonzalez,27,Female,Divorced,10,Bachelor's,Life Sciences,0,8,2016-12-31,0
238,Karen,Moore,48,Female,Married,2,Doctoral/Professional,Marketing,2,15.4,2015-01-01,0
239,William,Miller,25,Male,Married,2,Master's,Technical Degree,1,6.6,2019-01-01,0
241,David,Martin,36,Male,Married,17,Some College,Marketing,2,13.2,2020-01-01,0
242,Andrew,Martinez,27,Male,Married,1,Master's,Medical,9,4.4,2022-01-01,1
243,Matthew,Moore,44,Male,Divorced,7,Some College,Medical,6,13,2016-01-01,0
244,James,Martinez,37,Male,Married,4,No Degree,Life Sciences,7,8,2017-12-31,0
245,Karen,Miller,49,Female,Single,1,Master's,Medical,3,23,2011-01-01,0
246,Anthony,Jackson,40,Male,Single,2,Master's,Life Sciences,2,8.8,2022-01-01,0
247,Kenneth,Hernandez,24,Male,Married,18,No Degree,Life Sciences,0,6,2019-01-01,0
248,Mark,Anderson,45,Male,Single,1,Master's,Medical,4,13.2,2020-01-01,1
249,Mark,Miller,24,Male,Married,2,Bachelor's,Life Sciences,6,6,2020-12-31,1
250,Steven,Thomas,39,Male,Single,6,Bachelor's,Medical,2,20,2006-01-01,0
251,David,Williams,38,Male,Married,22,Some College,Marketing,2,8,2017-12-31,1
252,Thomas,Taylor,30,Male,Married,4,Master's,Medical,1,15.4,2009-12-31,1
253,Donna,Hernandez,51,Female,Married,7,Some College,Marketing,7,35,2019-01-01,0
254,Jennifer,Davis,50,Female,Divorced,17,Doctoral/Professional,Life Sciences,5,19,2009-12-31,1
255,Karen,Davis,29,Female,Divorced,4,Bachelor's,Medical,8,4.4,2022-01-01,0
256,Richard,Jones,37,Male,Married,6,Bachelor's,Medical,2,12.1,2016-12-31,0
257,James,Johnson,35,Male,Divorced,16,Master's,Marketing,4,9,2023-01-01,0
258,Jessica,Thomas,30,Female,Single,29,Master's,Medical,9,10,2016-01-01,0
259,Donna,Williams,34,Female,Single,3,Some College,Life Sciences,5,6,2022-01-01,0
260,Mark,Wilson,40,Male,Married,13,Bachelor's,Medical,5,11,2024-01-01,0
261,Emily,Miller,41,Female,Married,1,Bachelor's,Life Sciences,4,13.2,2019-01-01,0
264,William,Smith,26,Male,Single,4,Some College,Life Sciences,1,8,2016-01-01,0
265,Michael,Wilson,50,Male,Married,8,Master's,Marketing,7,4.4,2022-01-01,0
266,Joseph,Garcia,27,Male,Single,2,Bachelor's,Medical,2,6.6,2020-01-01,0
267,Dorothy,Anderson,36,Female,Married,3,Bachelor's,Medical,0,10,2015-01-01,0
268,John,Moore,36,Male,Divorced,9,Some College,Medical,2,13,2020-12-31,0
269,Jessica,Brown,46,Female,Divorced,16,Master's,Life Sciences,8,18,2016-01-01,0
271,Mark,Taylor,44,Male,Divorced,2,Some College,Life Sciences,3,13.2,2015-01-01,0
272,Kimberly,Martin,40,Female,Divorced,2,No Degree,Medical,5,16.5,2012-01-01,0
273,Lisa,Anderson,25,Female,Single,5,Some College,Life Sciences,0,6,2019-01-01,0
274,Kenneth,Taylor,40,Male,Married,9,Doctoral/Professional,Life Sciences,9,5,2020-12-31,0
275,Margaret,Moore,38,Female,Divorced,8,Bachelor's,Medical,1,22,2004-01-01,0
277,Ashley,Anderson,40,Female,Married,2,Some College,Life Sciences,4,7,2020-01-01,0
278,Charles,Davis,33,Male,Married,1,Bachelor's,Medical,4,5,2020-12-31,0
279,Charles,Taylor,26,Male,Single,2,Some College,Medical,7,8,2024-01-01,1
280,Ashley,Davis,43,Female,Single,10,Master's,Life Sciences,0,9,2016-01-01,0
281,Sarah,Anderson,34,Female,Single,12,Doctoral/Professional,Medical,0,15,2009-12-31,0
283,Joseph,Rodriguez,54,Male,Single,7,Bachelor's,Life Sciences,4,40.7,2017-12-31,0
284,Lisa,Hernandez,33,Female,Single,1,Bachelor's,Medical,1,5,2019-01-01,1
285,Paul,Williams,44,Male,Single,17,Bachelor's,Life Sciences,2,6,2024-01-01,0
286,William,Jones,32,Male,Single,5,Master's,Technical Degree,2,12,2016-12-31,0
287,Jessica,Gonzalez,34,Female,Married,1,Bachelor's,Life Sciences,5,7,2019-01-01,0
288,Barbara,Miller,30,Female,Single,9,Some College,Medical,7,10,2016-01-01,0
289,Robert,Wilson,20,Male,Married,1,Some College,Life Sciences,6,4.4,2022-01-01,0
291,Paul,Anderson,54,Male,Married,5,Some College,Medical,4,24,2020-01-01,0
292,Margaret,Johnson,22,Female,Single,15,Bachelor's,Medical,1,1.1,2024-01-01,0
293,Susan,Wilson,35,Female,Single,1,Bachelor's,Life Sciences,1,17,2007-01-01,0
294,Matthew,Jackson,50,Male,Married,1,Some College,Life Sciences,2,28.6,2015-01-01,0
295,James,Jackson,48,Male,Single,2,Some College,Technical Degree,5,7.7,2023-01-01,0
297,Mary,Lopez,40,Female,Divorced,12,Bachelor's,Life Sciences,2,15,2016-12-31,0
298,Thomas,Gonzalez,36,Male,Married,8,Bachelor's,Life Sciences,0,6,2019-01-01,0
299,Margaret,Moore,16,Female,Single,10,Bachelor's,Medical,1,0,2024-01-01,0
300,Paul,Martin,33,Male,Single,1,Bachelor's,Medical,1,6.6,2017-12-31,0
301,Joseph,Thomas,43,Male,Married,15,Some College,Life Sciences,1,15.4,2009-12-31,0
302,Jessica,Rodriguez,30,Female,Divorced,5,Bachelor's,Technical Degree,5,8,2020-12-31,0
303,Margaret,Thomas,31,Female,Divorced,2,No Degree,Medical,1,1,2023-01-01,0
304,Mary,Gonzalez,29,Female,Single,10,Bachelor's,Life Sciences,6,3.3,2024-01-01,1
305,Christopher,Gonzalez,56,Male,Divorced,2,Bachelor's,Medical,4,37,2008-01-01,0
306,Elizabeth,Anderson,52,Female,Married,22,Doctoral/Professional,Medical,3,39.6,2014-01-01,0
308,Kimberly,Smith,49,Female,Married,20,Master's,Medical,1,17.6,2008-12-31,0
309,Betty,Jackson,24,Female,Single,2,No Degree,Technical Degree,1,6,2017-12-31,0
311,Robert,Wilson,41,Male,Divorced,5,Some College,Life Sciences,6,5.5,2023-01-01,1
312,William,Anderson,39,Male,Married,12,Bachelor's,Medical,4,7,2019-01-01,0
313,David,Johnson,25,Male,Single,9,Bachelor's,Marketing,1,7,2016-12-31,0
314,Charles,Gonzalez,54,Male,Married,3,Bachelor's,Life Sciences,3,36,2014-01-01,0
315,Christopher,Miller,29,Male,Married,6,Master's,Life Sciences,4,13.2,2016-12-31,1
316,Mark,Hernandez,34,Male,Married,3,Bachelor's,Technical Degree,1,12,2012-12-31,0
317,Christopher,Gonzalez,25,Male,Married,19,No Degree,Medical,3,7.7,2020-12-31,0
318,Charles,Wilson,31,Male,Single,10,Master's,Marketing,1,10,2014-01-01,0
319,Sarah,Williams,51,Female,Single,6,Some College,Medical,0,8.8,2016-12-31,0
320,Donald,Smith,26,Male,Divorced,21,Bachelor's,Medical,1,1.1,2023-01-01,1
321,Kimberly,Johnson,41,Female,Married,2,Doctoral/Professional,Life Sciences,7,24.2,2006-01-01,0
322,Daniel,Davis,46,Male,Married,4,Doctoral/Professional,Medical,2,23,2022-01-01,0
324,James,Davis,43,Male,Divorced,7,Bachelor's,Life Sciences,1,26.4,2000-01-01,0
325,Richard,Smith,32,Male,Married,1,Bachelor's,Medical,1,9.9,2015-01-01,0
326,Kenneth,Jones,31,Male,Married,2,Some College,Life Sciences,0,3.3,2022-01-01,1
327,Joseph,Jones,43,Male,Married,2,Bachelor's,Medical,1,11,2014-01-01,0
328,Ashley,Brown,27,Female,Divorced,21,Master's,Life Sciences,1,11,2014-01-01,0
329,Emily,Miller,34,Female,Married,10,Master's,Technical Degree,1,11,2014-01-01,0
330,Sandra,Rodriguez,39,Female,Married,3,Bachelor's,Human Resources,9,13.2,2016-01-01,0
331,Nancy,Garcia,31,Female,Divorced,1,Doctoral/Professional,Medical,4,10,2017-12-31,0
332,Kenneth,Martin,25,Male,Married,18,No Degree,Life Sciences,2,6,2020-12-31,0
333,Linda,Garcia,43,Female,Married,7,Bachelor's,Life Sciences,8,11,2023-01-01,1
335,Emily,Smith,43,Female,Single,28,Bachelor's,Medical,4,18,2020-12-31,0
336,Thomas,Jackson,55,Male,Married,1,Some College,Life Sciences,3,24,2023-01-01,0
338,Susan,Williams,29,Female,Married,5,Master's,Life Sciences,1,10,2014-01-01,0
339,Emily,Davis,60,Female,Married,28,Bachelor's,Marketing,4,22,2006-01-01,0
340,Michael,Martinez,25,Male,Divorced,2,No Degree,Life Sciences,1,7,2016-12-31,0
341,Donna,Brown,46,Female,Married,10,Bachelor's,Marketing,2,15,2020-12-31,0
342,Emily,Johnson,30,Female,Divorced,7,Master's,Marketing,7,8.8,2020-12-31,0
344,Margaret,Lopez,16,Female,Single,1,Bachelor's,Life Sciences,1,0,2024-01-01,0
345,Jennifer,Taylor,34,Female,Married,10,Master's,Life Sciences,1,1,2023-01-01,0
346,Christopher,Smith,36,Male,Divorced,23,Master's,Life Sciences,9,11,2022-01-01,0
347,Anthony,Thomas,38,Male,Single,1,Bachelor's,Life Sciences,4,22,2023-01-01,0
348,Michael,Wilson,41,Male,Married,21,Bachelor's,Medical,7,8,2020-12-31,0
349,Nancy,Anderson,50,Female,Single,12,Bachelor's,Marketing,4,16,2022-01-01,0
350,William,Wilson,58,Male,Divorced,7,Master's,Marketing,0,12,2012-12-31,0
352,Charles,Martin,31,Male,Married,8,Master's,Life Sciences,2,8.8,2022-01-01,0
353,Kimberly,Thomas,52,Female,Married,4,Some College,Life Sciences,2,31,2019-01-01,1
354,Mark,Wilson,39,Male,Married,1,Bachelor's,Life Sciences,1,9,2015-01-01,0
