payment_id,borrower_id,payment_date,payment_type,amount_usd,on_time,processor_ref
33,4,2022-07-09,Fee Payment,2834.94,Yes,Jessica Taylor
34,4,2022-04-20,Late Payment Recovery,2720.88,No,Steven Thomas
35,4,2021-06-19,Early Repayment,3148.43,Yes,Daniel Gonzalez
36,4,2021-01-01,Advance Payment,3911.75,Yes,Donna Hernandez
37,4,2020-06-07,Partial Payment,2563.85,Yes,Karen Martinez
38,4,2020-06-14,Advance Payment,4278.47,No,Linda Jones
39,5,2023-11-21,Partial Payment,1930.26,No,Matthew Taylor
40,5,2023-08-01,Balance Transfer,1521.81,No,Patricia Taylor
41,5,2023-01-02,Partial Payment,2391.87,Yes,Donna Jackson
42,6,2023-08-27,Early Repayment,15119.4,Yes,Kenneth Smith
43,6,2023-06-04,Late Payment Recovery,10892.63,Yes,Mark Wilson
44,6,2022-08-18,Partial Payment,12028.65,Yes,William Rodriguez
45,6,2021-06-13,Partial Payment,7763.7,Yes,Karen Johnson
46,6,2020-08-07,Fee Payment,10735.18,Yes,Donna Moore
47,6,2020-02-19,Minimum Payment,11492.34,Yes,Emily Miller
48,6,2020-11-14,Late Payment Recovery,11717.81,Yes,Steven Jones
49,7,2023-01-28,Advance Payment,7809.4,No,Nancy Wilson
50,7,2023-08-30,Late Payment Recovery,8290.27,Yes,Michael Moore
51,7,2023-06-09,Early Repayment,9541.48,Yes,Matthew Garcia
52,7,2022-10-16,Advance Payment,6880.25,No,Jennifer Wilson
53,7,2022-09-24,Partial Payment,8914.33,Yes,Mary Martin
54,7,2022-09-03,Scheduled Installment,6778.51,Yes,Christopher Rodriguez
55,7,2021-02-06,Minimum Payment,8162.67,Yes,Susan Jackson
56,7,2021-09-08,Partial Payment,7086.89,Yes,Charles Wilson
57,7,2021-12-29,Restructured Payment,5072.62,Yes,Dorothy Martin
58,7,2020-04-28,Restructured Payment,8008.5,Yes,Joseph Garcia
59,7,2020-07-15,Partial Payment,7043.11,No,Jessica Williams
60,8,2023-12-09,Early Repayment,3995.29,No,Daniel Wilson
61,8,2023-12-10,Scheduled Installment,4363.3,Yes,Elizabeth Thomas
62,8,2022-08-25,Balance Transfer,5258.85,Yes,Kimberly Brown
63,8,2021-03-27,Late Payment Recovery,4816.47,Yes,Sandra Rodriguez
64,8,2021-09-03,Balance Transfer,5470.97,Yes,Sarah Anderson
65,8,2020-12-18,Restructured Payment,4715.9,No,Barbara Williams
66,9,2023-03-31,Minimum Payment,3446.64,Yes,Mary Jones
67,9,2022-07-06,Balance Transfer,3065.59,Yes,Mary Jackson
68,9,2022-05-13,Late Payment Recovery,3139.74,No,David Moore
69,9,2022-01-11,Early Repayment,3681.78,No,Charles Jackson
70,9,2021-07-31,Early Repayment,3081.04,Yes,Dorothy Brown
71,9,2021-05-10,Early Repayment,2911.11,Yes,Sarah Lopez
72,9,2021-05-23,Early Repayment,4739.91,Yes,Elizabeth Hernandez
73,9,2020-03-14,Restructured Payment,3759.89,No,Steven Garcia
74,9,2020-05-24,Restructured Payment,3029.61,No,James Anderson
75,10,2023-03-25,Late Payment Recovery,3489.53,No,Daniel Garcia
76,10,2023-07-16,Late Payment Recovery,2916.08,Yes,David Wilson
77,10,2023-08-10,Restructured Payment,4222.89,Yes,Mary Martin
78,10,2022-07-14,Advance Payment,3550.84,Yes,Margaret Smith
79,10,2022-03-19,Minimum Payment,2405.65,Yes,Sarah Martin
80,10,2022-06-14,Advance Payment,2593.79,No,Betty Rodriguez
81,10,2021-04-24,Balance Transfer,4044.93,No,John Lopez
82,10,2021-08-07,Early Repayment,2898.62,Yes,Margaret Hernandez
83,10,2020-09-26,Restructured Payment,3733.13,No,Dorothy Miller
84,10,2020-09-12,Partial Payment,4089.34,No,John Davis
85,10,2020-02-16,Scheduled Installment,2603.37,Yes,Margaret Smith
86,11,2023-04-19,Early Repayment,2670.96,Yes,Michael Thomas
87,11,2023-11-09,Early Repayment,4111.17,No,Jennifer Miller
88,11,2023-02-16,Early Repayment,3107.76,Yes,Linda Garcia
89,11,2022-03-25,Late Payment Recovery,3243.55,No,Margaret Martinez
90,11,2022-05-05,Advance Payment,2470.97,No,Kenneth Martinez
91,11,2022-07-06,Scheduled Installment,2092.8,No,Paul Hernandez
92,11,2021-09-26,Late Payment Recovery,3219.34,Yes,Karen Miller
93,11,2021-04-11,Restructured Payment,2038.07,No,Matthew Miller
94,11,2021-02-01,Minimum Payment,3335.92,Yes,Kenneth Garcia
95,11,2020-02-22,Partial Payment,3526.43,Yes,Mark Hernandez
96,11,2020-10-21,Partial Payment,3278.86,No,Patricia Thomas
97,12,2023-02-05,Minimum Payment,18902.64,Yes,Mary Wilson
98,12,2023-01-02,Scheduled Installment,12131.09,Yes,Christopher Davis
99,12,2022-07-02,Balance Transfer,17626.54,No,Michael Brown
100,12,2022-02-22,Advance Payment,11689.97,No,Dorothy Jackson
101,12,2021-08-15,Partial Payment,14181.88,Yes,William Lopez
102,12,2021-08-20,Balance Transfer,11270.79,Yes,Christopher Jones
103,12,2020-05-12,Fee Payment,9954.31,Yes,Donna Thomas
104,13,2023-12-03,Early Repayment,3281.85,Yes,Jessica Anderson
105,13,2023-07-11,Fee Payment,2628.03,Yes,Paul Jackson
106,14,2023-09-13,Scheduled Installment,4686.39,Yes,Donald Rodriguez
107,14,2023-07-06,Balance Transfer,5574.65,Yes,Joseph Johnson
108,14,2022-10-31,Balance Transfer,4322.06,Yes,Susan Thomas
109,14,2022-01-01,Restructured Payment,4537.22,Yes,Richard Martin
110,14,2021-11-28,Fee Payment,3797.54,Yes,Karen Jackson
111,14,2020-12-25,Restructured Payment,3293.53,Yes,Kimberly Anderson
112,15,2023-08-29,Early Repayment,8773.64,Yes,Matthew Lopez
113,15,2023-03-12,Early Repayment,8884.46,Yes,Donna Miller
114,15,2023-11-08,Minimum Payment,6303.69,Yes,Linda Miller
115,15,2022-12-04,Balance Transfer,8721.39,No,Patricia Lopez
116,15,2022-08-31,Early Repayment,9382.69,Yes,Sandra Brown
117,15,2021-05-25,Advance Payment,5390.65,No,Susan Miller
118,15,2021-10-26,Scheduled Installment,7677.88,No,Dorothy Martin
119,15,2020-12-19,Restructured Payment,7733.03,Yes,Kenneth Anderson
120,15,2020-08-19,Restructured Payment,6808.46,Yes,Emily Miller
121,16,2023-08-23,Late Payment Recovery,4427.53,No,Kimberly Gonzalez
122,16,2023-12-05,Partial Payment,3261.99,Yes,Steven Williams
123,16,2022-05-27,Partial Payment,2778.02,Yes,David Brown
124,16,2021-10-27,Early Repayment,3351.65,No,Michael Miller
125,16,2021-08-29,Scheduled Installment,2752.21,Yes,Mary Taylor
126,16,2020-05-21,Balance Transfer,3053.27,Yes,Kimberly Jackson
127,16,2020-02-26,Fee Payment,3452.68,No,William Williams
128,17,2023-12-25,Balance Transfer,4237.28,Yes,Joseph Smith
129,17,2023-05-23,Balance Transfer,3611.74,No,John Garcia
130,17,2022-12-17,Restructured Payment,2567.68,Yes,Donald Jones
131,17,2022-01-22,Scheduled Installment,3834.83,Yes,Ashley Wilson
132,17,2021-12-30,Scheduled Installment,3868.42,Yes,Jessica Smith
133,18,2023-05-02,Balance Transfer,4273.43,No,Jessica Lopez
134,18,2023-01-23,Balance Transfer,3013.73,Yes,Mary Martinez
135,18,2022-01-12,Balance Transfer,2875.43,No,Patricia Thomas
136,18,2021-11-15,Late Payment Recovery,4335.92,No,Elizabeth Smith
137,18,2021-11-12,Early Repayment,3520.17,Yes,Susan Thomas
138,18,2021-04-09,Minimum Payment,3587.56,No,Charles Martin
139,19,2023-09-26,Advance Payment,6097.2,No,Susan Garcia
140,19,2023-02-04,Balance Transfer,5542.15,No,Daniel Davis
141,19,2022-01-03,Minimum Payment,4820.52,Yes,Elizabeth Williams
142,19,2022-03-09,Late Payment Recovery,3299.05,Yes,Susan Wilson
143,19,2021-01-26,Advance Payment,3850.17,Yes,Sandra Martin
144,19,2021-05-03,Partial Payment,4279.71,Yes,Linda Hernandez
145,19,2020-04-02,Early Repayment,4776.96,No,Emily Jackson
146,20,2023-07-29,Early Repayment,3821.62,Yes,Jessica Lopez
147,20,2023-01-11,Early Repayment,4791.89,Yes,Thomas Martin
148,20,2022-07-26,Scheduled Installment,4118.46,Yes,David Anderson
149,20,2022-02-09,Late Payment Recovery,3632.84,Yes,Nancy Anderson
150,20,2021-01-19,Late Payment Recovery,4112.23,No,John Williams
151,20,2020-10-21,Late Payment Recovery,2473.64,Yes,William Taylor
152,21,2023-09-28,Balance Transfer,18359.99,Yes,Margaret Williams
153,21,2023-07-20,Balance Transfer,21111.43,Yes,Christopher Davis
154,21,2023-02-03,Minimum Payment,24140.51,Yes,Robert Martin
155,22,2023-03-29,Restructured Payment,2360.31,Yes,Andrew Thomas
156,22,2023-06-17,Early Repayment,2455.56,Yes,Daniel Martinez
157,22,2023-10-18,Late Payment Recovery,3141.38,Yes,Donna Hernandez
158,22,2022-05-08,Balance Transfer,1866.15,No,Robert Hernandez
159,22,2021-04-21,Early Repayment,2192.46,No,Joseph Moore
160,22,2021-11-04,Minimum Payment,2031.23,No,Charles Anderson
161,23,2023-07-06,Fee Payment,3601.23,No,Kenneth Brown
162,23,2023-08-21,Restructured Payment,2576.97,Yes,Paul Wilson
163,24,2023-08-16,Balance Transfer,8377.3,Yes,Christopher Moore
164,24,2023-01-06,Partial Payment,7741.73,Yes,Anthony Hernandez
165,24,2023-04-04,Fee Payment,6517.8,Yes,Dorothy Williams
166,24,2022-08-31,Minimum Payment,7865.99,No,Barbara Miller
167,24,2022-08-11,Minimum Payment,7349.88,Yes,Paul Anderson
168,24,2022-10-13,Restructured Payment,7237.33,Yes,Lisa Jones
169,24,2021-08-01,Restructured Payment,5369.24,Yes,David Thomas
170,24,2020-08-17,Balance Transfer,4959.52,No,Nancy Williams
171,25,2023-11-23,Minimum Payment,2724.29,Yes,Patricia Thomas
172,25,2023-02-05,Late Payment Recovery,3334.36,Yes,Emily Martin
173,25,2022-10-09,Minimum Payment,2935.54,Yes,Kimberly Thomas
174,25,2022-01-20,Balance Transfer,2370.49,Yes,Andrew Miller
175,25,2021-10-07,Early Repayment,2318.92,Yes,Sarah Taylor
176,25,2020-05-21,Fee Payment,3184.12,Yes,Joseph Smith
177,26,2023-03-02,Fee Payment,2646.04,No,Andrew Martinez
178,26,2023-12-30,Advance Payment,3238.31,Yes,Richard Thomas
179,26,2022-03-27,Balance Transfer,2898.53,No,Donna Martin
180,26,2022-05-18,Partial Payment,2172.09,No,Jennifer Lopez
181,26,2022-12-25,Minimum Payment,1603.71,Yes,Steven Wilson
182,26,2021-03-18,Fee Payment,2521.14,Yes,Steven Wilson
183,26,2021-08-24,Restructured Payment,2267.32,Yes,Thomas Garcia
184,27,2023-11-20,Early Repayment,9473.08,Yes,James Smith
185,27,2023-11-17,Balance Transfer,7925.53,Yes,Matthew Williams
186,27,2023-10-10,Balance Transfer,7361.5,Yes,Elizabeth Brown
187,27,2022-09-28,Advance Payment,9685.66,No,Steven Jones
188,27,2022-11-22,Advance Payment,10404.28,Yes,Nancy Brown
189,27,2021-05-31,Restructured Payment,7965.6,Yes,Jennifer Taylor
190,27,2021-08-15,Scheduled Installment,8876.52,Yes,Elizabeth Thomas
191,27,2020-11-05,Late Payment Recovery,8882.01,Yes,Donna Garcia
192,28,2023-04-25,Fee Payment,3325.21,Yes,Anthony Jones
193,28,2023-10-20,Advance Payment,4691.11,Yes,Linda Williams
194,28,2023-10-11,Minimum Payment,2951.51,Yes,Christopher Anderson
195,28,2022-11-26,Minimum Payment,2577.27,Yes,Mark Thomas
196,28,2022-10-15,Early Repayment,2517.99,No,Margaret Martin
197,28,2021-10-10,Partial Payment,4117.65,Yes,Kimberly Gonzalez
198,28,2020-06-09,Scheduled Installment,2796.28,Yes,Steven Moore
199,28,2020-07-26,Balance Transfer,4042.74,Yes,Christopher Smith
200,28,2020-05-14,Early Repayment,2800.19,Yes,John Jones
201,29,2023-08-17,Balance Transfer,14575.51,Yes,Joseph Hernandez
202,29,2023-07-07,Balance Transfer,15206.21,No,Robert Lopez
203,29,2023-01-23,Late Payment Recovery,21207.37,No,Donald Wilson
204,29,2022-10-19,Balance Transfer,21337.43,Yes,Jessica Davis
205,29,2022-07-12,Fee Payment,12342.38,No,Kimberly Martinez
206,29,2022-02-17,Restructured Payment,12020.34,No,Margaret Thomas
207,29,2021-02-24,Scheduled Installment,16851.83,Yes,Robert Lopez
208,29,2020-09-02,Minimum Payment,19218.28,Yes,Daniel Martin
209,29,2020-07-07,Minimum Payment,20935.34,Yes,Anthony Johnson
210,29,2020-12-31,Advance Payment,16984.23,No,Paul Johnson
211,30,2023-09-22,Partial Payment,2538.38,Yes,John Brown
212,30,2023-09-05,Partial Payment,3098.84,No,John Gonzalez
213,30,2023-11-30,Restructured Payment,1769.66,No,Nancy Thomas
214,30,2022-01-06,Early Repayment,2644.43,Yes,Robert Moore
215,30,2022-03-29,Minimum Payment,2725.77,Yes,Matthew Thomas
216,30,2021-11-12,Fee Payment,1558.63,Yes,Sarah Rodriguez
217,30,2021-07-04,Partial Payment,1525.92,Yes,Barbara Johnson
218,30,2021-07-08,Scheduled Installment,2655.0,Yes,Daniel Rodriguez
219,30,2020-07-10,Balance Transfer,2594.39,Yes,Donald Davis
220,31,2023-07-31,Restructured Payment,19478.93,Yes,Jennifer Garcia
221,31,2023-05-18,Early Repayment,20721.48,No,Jessica Thomas
222,31,2023-10-13,Advance Payment,23460.53,Yes,Elizabeth Garcia
223,31,2022-12-26,Scheduled Installment,15796.33,Yes,James Brown
224,31,2022-11-08,Fee Payment,15724.27,No,Kenneth Thomas
225,31,2021-12-08,Balance Transfer,13904.82,Yes,Nancy Johnson
226,31,2020-05-29,Partial Payment,13055.91,Yes,Donna Jones
227,32,2023-08-27,Minimum Payment,8964.05,No,Betty Moore
228,32,2023-09-19,Late Payment Recovery,7284.69,Yes,William Garcia
229,32,2023-01-18,Early Repayment,6684.48,Yes,Daniel Hernandez
230,32,2022-03-26,Late Payment Recovery,4835.46,Yes,William Davis
231,32,2022-05-26,Fee Payment,6917.66,No,Elizabeth Garcia
232,32,2021-08-29,Late Payment Recovery,8728.51,Yes,Daniel Taylor
233,32,2021-11-18,Late Payment Recovery,5798.23,Yes,Karen Taylor
234,32,2021-04-18,Fee Payment,5019.77,Yes,Daniel Lopez
235,32,2020-12-01,Late Payment Recovery,6554.51,Yes,Steven Jones
236,33,2022-09-06,Minimum Payment,2283.25,No,Betty Gonzalez
237,33,2021-09-14,Balance Transfer,2806.06,No,Christopher Garcia
238,33,2021-08-10,Late Payment Recovery,2103.12,Yes,Mary Jones
239,33,2021-11-16,Minimum Payment,2081.16,Yes,Mark Martin
240,33,2020-08-26,Scheduled Installment,2762.55,No,Ashley Martinez
241,33,2020-03-21,Partial Payment,2934.09,Yes,Matthew Rodriguez
242,34,2023-12-28,Late Payment Recovery,5186.39,Yes,James Wilson
243,34,2023-12-05,Scheduled Installment,5188.16,No,Matthew Thomas
244,34,2022-02-25,Restructured Payment,6068.75,No,Paul Hernandez
245,34,2022-03-13,Fee Payment,6099.76,Yes,Betty Davis
246,34,2022-09-04,Minimum Payment,4965.61,Yes,Charles Smith
247,34,2021-09-25,Advance Payment,7033.18,No,Michael Anderson
248,34,2021-06-12,Early Repayment,5988.81,Yes,Paul Miller
249,34,2021-04-06,Restructured Payment,6677.48,Yes,Dorothy Wilson
250,34,2020-10-08,Scheduled Installment,6438.73,No,Michael Miller
251,34,2020-06-24,Late Payment Recovery,5280.28,No,Barbara Williams
252,34,2020-05-30,Late Payment Recovery,6093.6,Yes,David Wilson
253,35,2023-06-17,Late Payment Recovery,8745.75,Yes,Richard Moore
254,35,2023-06-03,Restructured Payment,7270.36,No,Michael Miller
255,35,2023-05-05,Advance Payment,5356.28,No,Sandra Martinez
256,35,2023-01-11,Balance Transfer,7417.11,No,Jennifer Moore
257,35,2023-04-11,Early Repayment,6504.37,Yes,Kenneth Williams
258,35,2022-03-10,Restructured Payment,6599.25,Yes,Jessica Thomas
259,35,2021-05-04,Partial Payment,6402.2,Yes,Daniel Anderson
260,35,2020-10-02,Minimum Payment,6879.65,No,Lisa Rodriguez
261,35,2020-05-03,Balance Transfer,5400.9,No,Emily Anderson
262,36,2022-02-15,Minimum Payment,6485.9,No,Thomas Hernandez
263,36,2022-11-11,Early Repayment,6451.79,No,Lisa Martinez
264,36,2022-07-25,Restructured Payment,3922.71,Yes,Betty Thomas
265,36,2021-10-19,Balance Transfer,5534.33,Yes,Betty Gonzalez
266,36,2021-07-27,Balance Transfer,6444.47,Yes,Ashley Rodriguez
267,36,2021-10-29,Advance Payment,5556.65,No,Ashley Taylor
268,37,2023-07-06,Minimum Payment,9299.4,Yes,William Hernandez
269,37,2023-05-06,Balance Transfer,5148.39,Yes,Paul Gonzalez
270,37,2023-12-09,Fee Payment,5383.78,Yes,Susan Anderson
271,37,2022-09-13,Balance Transfer,4531.29,No,Betty Rodriguez
272,37,2021-02-07,Late Payment Recovery,5161.26,Yes,David Miller
273,37,2020-11-04,Early Repayment,5738.37,Yes,Linda Taylor
274,37,2020-02-03,Fee Payment,4752.2,Yes,Kenneth Rodriguez
275,38,2023-10-09,Early Repayment,16882.88,Yes,Thomas Martinez
276,38,2023-03-30,Fee Payment,22139.36,Yes,Sandra Taylor
277,38,2022-06-03,Scheduled Installment,20355.41,Yes,Donald Brown
278,38,2021-11-08,Advance Payment,17202.26,Yes,Betty Taylor
279,38,2020-06-24,Fee Payment,20034.67,No,Nancy Williams
280,38,2020-11-04,Scheduled Installment,19404.99,Yes,Dorothy Moore
281,39,2023-07-17,Scheduled Installment,14162.58,Yes,Donna Anderson
282,39,2023-03-13,Balance Transfer,18328.66,Yes,Richard Jackson
283,39,2023-03-08,Minimum Payment,14827.58,Yes,Steven Martin
284,39,2022-09-06,Minimum Payment,19023.84,Yes,Mary Hernandez
285,39,2022-03-02,Early Repayment,17957.95,Yes,Kenneth Brown
286,39,2021-04-08,Minimum Payment,19408.08,Yes,Richard Johnson
287,39,2021-12-30,Scheduled Installment,16944.18,Yes,Patricia Hernandez
288,39,2020-09-02,Fee Payment,18920.37,Yes,Karen Hernandez
289,39,2020-11-07,Early Repayment,18674.95,Yes,William Jones
290,40,2023-01-29,Late Payment Recovery,5585.55,Yes,Daniel Anderson
291,40,2023-08-04,Late Payment Recovery,5593.87,Yes,David Gonzalez
292,40,2023-01-10,Late Payment Recovery,6337.21,Yes,James Thomas
293,40,2023-07-02,Early Repayment,3885.73,No,Patricia Miller
294,40,2023-09-22,Fee Payment,5686.74,Yes,Kenneth Rodriguez
295,40,2022-01-14,Late Payment Recovery,4914.81,Yes,Kimberly Lopez
296,40,2021-07-30,Partial Payment,4485.31,Yes,Barbara Jackson
297,40,2021-05-12,Early Repayment,3450.09,Yes,Margaret Lopez
298,40,2020-02-14,Minimum Payment,3963.24,Yes,Nancy Davis
299,40,2020-08-16,Minimum Payment,5107.33,Yes,Donald Lopez
300,40,2020-11-29,Balance Transfer,4715.76,Yes,David Hernandez
301,41,2023-12-22,Partial Payment,13606.29,Yes,Margaret Lopez
302,41,2023-02-21,Scheduled Installment,20646.84,Yes,Elizabeth Thomas
303,41,2022-07-07,Late Payment Recovery,15323.59,Yes,Joseph Williams
304,41,2022-10-09,Balance Transfer,13924.81,No,William Wilson
305,41,2021-11-23,Balance Transfer,14188.28,Yes,Kenneth Anderson
306,41,2021-12-02,Restructured Payment,12469.27,Yes,Andrew Johnson
307,41,2021-11-25,Late Payment Recovery,10434.22,No,Paul Jones
308,41,2020-11-01,Restructured Payment,15207.97,Yes,Barbara Miller
309,42,2023-11-17,Balance Transfer,7396.49,Yes,Barbara Jones
310,42,2023-10-21,Balance Transfer,5475.89,Yes,Karen Thomas
311,42,2023-04-17,Scheduled Installment,6991.41,No,Dorothy Martinez
312,42,2022-10-12,Balance Transfer,6292.29,Yes,Mark Williams
313,42,2022-12-27,Advance Payment,6226.11,Yes,Margaret Miller
314,42,2022-09-20,Advance Payment,3655.47,Yes,Michael Johnson
315,42,2021-07-10,Restructured Payment,3695.16,No,Mary Anderson
316,42,2021-03-13,Advance Payment,5516.24,No,Emily Jackson
317,42,2020-09-09,Advance Payment,3904.23,Yes,John Miller
318,42,2020-06-07,Scheduled Installment,3759.48,Yes,Donald Jones
319,42,2020-12-20,Fee Payment,3988.39,No,Thomas Hernandez
320,43,2023-12-20,Early Repayment,5368.15,Yes,David Thomas
321,43,2023-02-04,Scheduled Installment,3956.45,Yes,Linda Wilson
322,43,2023-03-17,Fee Payment,3133.83,Yes,Donna Miller
323,43,2022-02-04,Balance Transfer,2794.35,Yes,James Garcia
324,43,2021-05-17,Late Payment Recovery,3214.98,No,Karen Hernandez
325,43,2021-05-24,Scheduled Installment,3949.5,No,Linda Miller
326,43,2020-06-01,Restructured Payment,3760.78,No,Linda Jackson
327,43,2020-11-16,Early Repayment,4123.79,No,Lisa Johnson
328,44,2023-09-01,Late Payment Recovery,3693.18,Yes,Joseph Martin
329,44,2023-12-02,Fee Payment,2605.54,Yes,Richard Jones
330,44,2022-02-25,Restructured Payment,2717.45,Yes,Susan Smith
331,44,2022-12-31,Late Payment Recovery,3504.95,Yes,Michael Brown
332,44,2022-03-01,Minimum Payment,3453.42,Yes,Sandra Williams
333,44,2021-09-17,Balance Transfer,3050.7,No,Matthew Williams
334,44,2021-12-02,Scheduled Installment,2263.42,No,Dorothy Lopez
335,45,2023-12-25,Partial Payment,3965.46,Yes,Linda Wilson
336,45,2023-01-16,Restructured Payment,3972.29,Yes,Kenneth Rodriguez
337,45,2022-02-19,Minimum Payment,3759.45,Yes,Kimberly Brown
338,45,2021-12-15,Early Repayment,3739.62,Yes,Michael Martinez
339,45,2020-05-24,Restructured Payment,3371.93,Yes,Kenneth Wilson
340,46,2023-02-28,Partial Payment,3453.51,Yes,Dorothy Thomas
341,46,2023-11-28,Fee Payment,3155.84,Yes,Mary Martinez
342,46,2022-12-06,Fee Payment,2574.74,No,Joseph Smith
343,46,2022-08-31,Minimum Payment,3501.79,No,Mary Martin
344,46,2021-09-17,Early Repayment,3508.17,Yes,Richard Smith
345,46,2021-12-03,Restructured Payment,2854.21,Yes,Betty Miller
346,46,2021-05-01,Balance Transfer,2152.26,Yes,Elizabeth Martinez
347,46,2020-02-20,Late Payment Recovery,2265.47,No,Daniel Lopez
348,47,2023-08-30,Early Repayment,4615.62,Yes,Anthony Hernandez
349,47,2023-11-15,Partial Payment,5918.8,Yes,Sarah Moore
350,47,2023-11-30,Partial Payment,4508.16,Yes,William Smith
351,47,2022-04-14,Advance Payment,5449.31,Yes,Steven Gonzalez
352,47,2022-11-08,Early Repayment,3553.89,Yes,Elizabeth Anderson
353,47,2021-04-10,Minimum Payment,4752.69,No,Anthony Rodriguez
354,47,2020-07-04,Fee Payment,4093.31,Yes,Lisa Jackson
355,48,2023-08-14,Balance Transfer,4605.16,Yes,Anthony Davis
356,48,2023-01-06,Balance Transfer,5163.44,Yes,Donna Anderson
357,48,2023-08-03,Fee Payment,4365.76,Yes,Anthony Garcia
358,49,2023-01-31,Early Repayment,2869.03,No,Sandra Anderson
359,49,2023-04-07,Balance Transfer,2502.97,No,Jennifer Smith
360,49,2023-09-01,Scheduled Installment,3177.7,Yes,Thomas Martinez
361,50,2023-02-24,Partial Payment,23273.37,Yes,Linda Taylor
362,50,2023-07-01,Scheduled Installment,22629.01,Yes,Jessica Jones
363,50,2023-10-14,Scheduled Installment,24699.66,Yes,Karen Jackson
364,50,2023-03-13,Balance Transfer,27986.25,Yes,Ashley Garcia
365,50,2022-07-06,Advance Payment,17207.67,Yes,Matthew Jackson
366,50,2022-04-29,Balance Transfer,24823.58,No,Daniel Gonzalez
367,50,2022-03-13,Restructured Payment,20744.44,Yes,William Johnson
368,50,2021-12-14,Advance Payment,18393.74,No,Dorothy Smith
369,50,2020-11-07,Partial Payment,18006.18,Yes,Charles Wilson
370,51,2023-01-22,Early Repayment,5531.46,Yes,Elizabeth Johnson
371,51,2023-10-11,Scheduled Installment,5231.92,No,Linda Brown
372,51,2022-08-17,Restructured Payment,5948.64,Yes,Daniel Miller
373,51,2022-06-16,Scheduled Installment,5516.9,No,Barbara Jones
374,51,2022-02-22,Balance Transfer,7018.9,No,Jennifer Thomas
375,51,2021-09-17,Late Payment Recovery,7661.5,Yes,Kenneth Miller
376,51,2021-07-03,Fee Payment,7954.35,No,Joseph Rodriguez
377,51,2021-10-13,Minimum Payment,7025.26,Yes,Barbara Brown
378,51,2020-01-21,Partial Payment,8329.51,Yes,Mary Anderson
379,51,2020-01-14,Fee Payment,6546.24,No,Kenneth Jackson
380,52,2023-11-23,Partial Payment,5530.45,No,Mark Martinez
381,52,2023-09-18,Fee Payment,7286.77,Yes,Barbara Williams
382,52,2022-02-05,Partial Payment,5620.42,Yes,Thomas Moore
383,52,2021-07-30,Advance Payment,5482.35,Yes,Nancy Johnson
384,52,2020-07-12,Minimum Payment,5358.06,Yes,Elizabeth Anderson
385,52,2020-08-13,Fee Payment,5546.58,Yes,William Davis
386,53,2023-03-21,Late Payment Recovery,7066.69,Yes,Lisa Smith
387,53,2023-10-24,Partial Payment,5836.82,Yes,Robert Miller
388,53,2023-07-07,Restructured Payment,5744.7,No,Mark Jackson
389,53,2022-02-24,Late Payment Recovery,5004.65,Yes,Elizabeth Martin
390,53,2022-09-15,Fee Payment,8492.02,Yes,Karen Rodriguez
